"tconst","averageRating","numVotes","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","parentTconst","seasonNumber","episodeNumber"
"tt11203144",7.1,326,"tvEpisode","Vick Part 1","Vick Part 1",0,"2020","\N","\N","Biography,Documentary,History","tt1408430","3","35"
"tt11203782",8.3,6,"tvEpisode","Recruiting","Recruiting",0,"2019","\N","\N","Documentary,History,Sport","tt9537190","1","4"
"tt11204058",9.5,6,"tvMiniSeries","Shakespears Skjulte Koder","Shakespears Skjulte Koder",0,"2009","2009","54","History",NA,NA,NA
"tt11207012",7.7,36,"tvEpisode","Fortress of the Knights Templar","Fortress of the Knights Templar",0,"2019","\N","44","Documentary,History","tt10366494","1","1"
"tt11207014",7.7,36,"tvEpisode","El Dorado City of Gold","El Dorado City of Gold",0,"2019","\N","44","Documentary,History","tt10366494","1","3"
"tt11207016",7.8,35,"tvEpisode","Ghost City of the Pacific","Ghost City of the Pacific",0,"2019","\N","44","Documentary,History","tt10366494","1","2"
"tt11207022",7.7,29,"tvEpisode","Petra's Hidden Origins","Petra's Hidden Origins",0,"2019","\N","24","Documentary,History","tt10366494","1","5"
"tt11207026",7.6,29,"tvEpisode","Inca Island in the Sky","Inca Island in the Sky",0,"2019","\N","44","Documentary,History","tt10366494","1","6"
"tt11207030",7.1,31,"tvEpisode","Stonehenge","Stonehenge",0,"2019","\N","44","Documentary,History","tt10366494","1","4"
"tt11207376",7.2,118,"tvEpisode","Marked Man","Marked Man",0,"2020","\N","\N","Crime,Documentary,History","tt10948316","1","1"
"tt11207382",7.4,94,"tvEpisode","Straight Man in a Crooked Game","Straight Man in a Crooked Game",0,"2020","\N","\N","Crime,Documentary,History","tt10948316","1","2"
"tt11207384",7.4,84,"tvEpisode","Black Messiah","Black Messiah",0,"2020","\N","\N","Crime,Documentary,History","tt10948316","1","3"
"tt11207388",7.7,78,"tvEpisode","Showdown","Showdown",0,"2020","\N","\N","Crime,Documentary,History","tt10948316","1","4"
"tt11207394",7.7,76,"tvEpisode","Legacies","Legacies",0,"2020","\N","\N","Crime,Documentary,History","tt10948316","1","6"
"tt11207902",8.4,131,"movie","Lejos de Casa pelicula Venezolana","Lejos de Casa pelicula Venezolana",0,"2020","\N","87","Drama,History",NA,NA,NA
"tt11212096",9.3,17,"movie","In Search of the Earth-Mother of Anatolia","In Search of the Earth-Mother of Anatolia",0,"2019","\N","55","Documentary,History",NA,NA,NA
"tt11212418",7,9,"movie","Generalísimo, la vida de Franco en color","Generalísimo, la vida de Franco en color",0,"2019","\N","84","Biography,Documentary,History",NA,NA,NA
"tt11213140",7,28,"movie","London 79","London 79",0,"2019","\N","59","Documentary,History,Music",NA,NA,NA
"tt11213572",7.7,49,"tvSeries","The Love by Hypnotic","The Love by Hypnotic",0,"2019","\N","\N","Comedy,History,Romance",NA,NA,NA
"tt11214544",8.2,5,"tvEpisode","Rivalries","Rivalries",0,"2019","\N","\N","Documentary,History,Sport","tt9537190","1","7"
"tt1121584",7.2,12,"tvEpisode","World's Sharpest","World's Sharpest",0,"2007","\N","44","Documentary,History","tt0199248","14","33"
"tt11218072",6.4,143,"tvEpisode","Seau","Seau",0,"2018","\N","\N","Biography,Documentary,History","tt1408430","3","27"
"tt11218332",7.5,140,"tvEpisode","George Best: All By Himself","George Best: All By Himself",0,"2017","\N","92","Biography,Documentary,History","tt1408430","3","20"
"tt1121877",7.3,43,"tvSeries","Allemaal film","Allemaal film",0,"2007","2007","\N","Documentary,History",NA,NA,NA
